transport_id,vehicle_id,carrier_id,route_id,depot_id,driver_id,distance_miles,planned_duration,actual_duration,fuel_cost,total_cost,capacity_utilization,empty_miles,CO2_emission
T-00244,VH-0101,C-005,R-010,D-NTH,DR-0023,171,4.0,6.9,69.18,336.83,71,6,134.5
T-00245,VH-0036,C-001,R-068,D-NTH,DR-0143,114,2.5,5.3,60.46,455.32,93,27,74.8
T-00246,VH-0053,C-005,R-030,D-STH,DR-0163,309,7.0,7.3,133.08,666.75,89,23,176.7
T-00247,VH-0117,C-004,R-002,D-MID,DR-0202,126,3.6,3.9,46.24,331.19,64,30,76.4
T-00248,VH-0053,C-003,R-010,D-NTH,DR-0143,171,4.0,6.9,96.5,609.29,59,26,193.5
T-00249,VH-0014,C-006,R-015,D-WAL,DR-0049,277,5.8,7.7,101.12,1238.79,98,5,283.6
T-00250,VH-0071,C-004,R-009,D-STH,DR-0189,284,7.8,10.0,128.64,631.23,45,78,192.9
T-00251,VH-0098,C-002,R-024,D-NTH,DR-0054,216,4.9,5.5,99.23,1070.01,84,22,145.8
T-00252,VH-0040,C-001,R-019,D-LON,DR-0037,52,1.4,2.4,30.03,211.98,45,13,60.4
T-00253,VH-0174,C-002,R-008,D-NTH,DR-0096,199,4.9,8.3,78.43,1034.09,95,22,166.7
T-00254,VH-0105,C-001,R-067,D-SCO,DR-0027,312,6.7,10.1,119.84,1396.52,71,91,274.7
T-00255,VH-0036,C-002,R-026,D-STH,DR-0219,305,8.2,9.0,135.27,1573.12,44,7,215.4
T-00256,VH-0166,C-006,R-009,D-LON,DR-0051,284,7.8,10.0,125.09,1394.99,70,87,274.1
T-00257,VH-0140,C-002,R-056,D-LON,DR-0061,321,6.9,8.8,133.55,1259.76,86,96,370.8
T-00258,VH-0128,C-004,R-061,D-STH,DR-0210,223,5.9,6.3,105.59,569.1,92,21,196.7
T-00259,VH-0116,C-004,R-051,D-WAL,DR-0080,57,1.1,2.4,20.49,169.36,70,0,32.3
T-00260,VH-0103,C-002,R-053,D-NTH,DR-0200,206,6.0,6.6,110.38,1064.06,43,21,181.7
T-00261,VH-0080,C-003,R-024,D-STH,DR-0024,216,4.9,5.5,87.5,881.31,79,33,172.3
T-00262,VH-0106,C-005,R-039,D-LON,DR-0084,213,5.3,7.3,111.86,370.17,58,20,176.9
T-00263,VH-0080,C-005,R-045,D-SCO,DR-0035,60,1.3,2.0,31.12,101.82,81,2,58.6
T-00264,VH-0163,C-001,R-027,D-MID,DR-0095,34,0.8,1.5,19.57,139.39,74,2,30.9
T-00265,VH-0018,C-006,R-038,D-WAL,DR-0201,193,5.4,6.0,81.18,960.15,57,5,206.7
T-00266,VH-0138,C-002,R-058,D-STH,DR-0099,201,5.1,5.3,106.33,831.58,78,54,143.9
T-00267,VH-0013,C-005,R-058,D-STH,DR-0148,201,5.1,5.3,93.43,392.99,55,21,177.8
T-00268,VH-0047,C-006,R-018,D-LON,DR-0095,391,9.2,11.3,208.21,1797.35,59,84,406.1
T-00269,VH-0041,C-005,R-061,D-SCO,DR-0156,223,5.9,6.3,97.98,443.29,42,67,212.8
T-00270,VH-0125,C-001,R-048,D-NTH,DR-0099,78,2.2,2.3,37.17,339.5,92,2,80.8
T-00271,VH-0072,C-001,R-052,D-LON,DR-0015,162,3.7,5.6,55.59,648.68,75,41,182.5
T-00272,VH-0111,C-006,R-012,D-WAL,DR-0081,178,4.4,4.5,88.45,947.53,42,30,151.4
T-00273,VH-0062,C-003,R-006,D-NTH,DR-0039,334,8.4,12.4,143.41,1114.05,45,51,349.6
T-00274,VH-0086,C-004,R-047,D-NTH,DR-0028,24,0.6,0.9,7.95,74.09,82,4,21.6
T-00275,VH-0055,C-002,R-001,D-STH,DR-0047,261,5.1,5.7,145.04,1127.62,64,83,162.4
T-00276,VH-0140,C-003,R-017,D-NTH,DR-0089,209,5.3,5.3,108.18,695.89,57,47,236.1
T-00277,VH-0066,C-003,R-042,D-MID,DR-0150,348,8.0,7.5,116.89,1593.68,53,84,295.3
T-00278,VH-0001,C-002,R-054,D-SCO,DR-0030,18,0.4,1.7,6.19,78.13,64,6,16.9
T-00279,VH-0123,C-005,R-028,D-MID,DR-0001,205,4.1,8.8,68.48,456.2,77,27,135.2
T-00280,VH-0179,C-001,R-027,D-LON,DR-0063,34,0.8,1.5,14.18,133.11,54,0,39.3
T-00281,VH-0129,C-002,R-016,D-LON,DR-0094,349,9.8,12.5,148.51,1652.07,98,47,302.4
T-00282,VH-0083,C-004,R-025,D-NTH,DR-0173,103,2.0,3.8,37.01,235.16,85,32,93.8
T-00283,VH-0151,C-002,R-010,D-STH,DR-0185,171,4.0,6.9,90.18,742.13,59,46,144.5
T-00284,VH-0151,C-005,R-019,D-LON,DR-0069,52,1.4,2.4,19.1,90.47,49,9,54.9
T-00285,VH-0174,C-004,R-012,D-SCO,DR-0013,178,4.4,4.5,62.16,513.13,54,41,176.6
T-00286,VH-0102,C-001,R-040,D-WAL,DR-0207,333,6.5,11.0,160.89,1254.15,47,63,382.0
T-00287,VH-0009,C-006,R-025,D-SCO,DR-0102,103,2.0,3.8,35.41,554.94,45,29,80.1
T-00288,VH-0171,C-002,R-028,D-STH,DR-0162,205,4.1,8.8,111.45,975.14,53,45,208.3
T-00289,VH-0069,C-006,R-047,D-LON,DR-0020,24,0.6,0.9,11.21,107.67,85,5,28.4
T-00290,VH-0155,C-002,R-056,D-MID,DR-0034,321,6.9,8.8,139.26,1411.4,66,86,224.8
T-00291,VH-0080,C-001,R-007,D-LON,DR-0108,245,5.6,7.8,130.39,1123.34,66,44,206.4
T-00292,VH-0077,C-004,R-053,D-NTH,DR-0193,206,6.0,6.6,79.94,570.11,60,28,171.5
T-00293,VH-0133,C-006,R-067,D-NTH,DR-0050,312,6.7,10.1,123.13,1334.91,87,100,354.0
T-00294,VH-0172,C-003,R-025,D-STH,DR-0035,103,2.0,3.8,33.86,344.08,57,12,83.9
T-00295,VH-0057,C-003,R-021,D-MID,DR-0065,20,0.5,1.1,8.52,65.28,70,0,14.0
T-00296,VH-0027,C-001,R-003,D-SCO,DR-0165,124,2.5,4.8,60.19,499.17,73,20,127.0
T-00297,VH-0158,C-004,R-010,D-LON,DR-0172,171,4.0,6.9,95.46,528.71,46,29,196.1
T-00298,VH-0085,C-006,R-001,D-LON,DR-0070,261,5.1,5.7,115.05,1193.4,93,21,242.0
T-00299,VH-0106,C-004,R-045,D-MID,DR-0011,60,1.3,2.0,21.57,172.19,62,10,69.0
T-00300,VH-0068,C-005,R-015,D-WAL,DR-0138,277,5.8,7.7,92.85,526.06,61,39,247.9
T-00301,VH-0029,C-005,R-015,D-STH,DR-0141,277,5.8,7.7,90.07,562.1,56,55,278.1
T-00302,VH-0053,C-004,R-051,D-MID,DR-0209,57,1.1,2.4,25.41,174.53,89,2,56.3
T-00303,VH-0069,C-001,R-052,D-MID,DR-0198,162,3.7,5.6,55.0,781.73,50,29,158.0
T-00304,VH-0144,C-005,R-003,D-LON,DR-0142,124,2.5,4.8,64.89,235.99,71,19,107.2
T-00305,VH-0057,C-001,R-021,D-LON,DR-0143,20,0.5,1.1,10.96,98.8,78,4,17.8
T-00306,VH-0107,C-005,R-034,D-STH,DR-0206,155,3.1,4.3,51.01,295.92,49,40,132.8
T-00307,VH-0112,C-003,R-031,D-NTH,DR-0044,402,8.2,10.3,138.71,1471.03,94,59,279.3
T-00308,VH-0081,C-006,R-070,D-LON,DR-0104,287,7.9,10.5,100.47,1435.23,74,41,290.8
T-00309,VH-0132,C-001,R-043,D-SCO,DR-0130,85,1.9,4.0,39.02,358.58,53,25,98.5
T-00310,VH-0066,C-006,R-062,D-SCO,DR-0162,187,4.6,5.6,98.44,946.18,58,62,176.3
T-00311,VH-0116,C-005,R-007,D-LON,DR-0119,245,5.6,7.8,79.32,505.61,63,74,231.6
T-00312,VH-0082,C-005,R-055,D-MID,DR-0033,161,4.5,5.8,79.71,270.05,43,47,176.1
T-00313,VH-0154,C-003,R-028,D-SCO,DR-0146,205,4.1,8.8,78.68,802.7,64,30,159.2
T-00314,VH-0053,C-003,R-032,D-NTH,DR-0138,90,2.1,4.0,49.21,323.12,82,29,86.6
T-00315,VH-0085,C-006,R-001,D-WAL,DR-0192,261,5.1,5.7,144.1,1260.95,50,62,284.6
T-00316,VH-0043,C-006,R-002,D-LON,DR-0068,126,3.6,3.9,42.54,621.22,96,10,97.9
T-00317,VH-0127,C-003,R-013,D-NTH,DR-0204,76,1.8,3.5,27.17,295.37,60,0,60.2
T-00318,VH-0127,C-006,R-018,D-MID,DR-0035,391,9.2,11.3,159.03,1974.75,93,3,230.3
T-00319,VH-0115,C-002,R-047,D-SCO,DR-0047,24,0.6,0.9,10.03,100.39,43,3,24.8
T-00320,VH-0080,C-003,R-069,D-SCO,DR-0067,187,5.1,5.7,60.99,777.47,89,14,166.7
T-00321,VH-0001,C-003,R-056,D-LON,DR-0006,321,6.9,8.8,104.24,1364.65,75,48,335.4
T-00322,VH-0006,C-005,R-059,D-WAL,DR-0209,185,3.8,6.6,99.66,336.7,79,32,106.6
T-00323,VH-0005,C-003,R-049,D-MID,DR-0181,273,5.8,11.6,142.01,1045.16,47,88,306.5
T-00324,VH-0007,C-003,R-003,D-LON,DR-0022,124,2.5,4.8,43.8,550.7,57,33,102.6
T-00325,VH-0101,C-006,R-040,D-SCO,DR-0001,333,6.5,11.0,150.66,1654.3,96,53,389.4
T-00326,VH-0039,C-005,R-062,D-LON,DR-0087,187,4.6,5.6,98.28,405.07,69,53,218.0
T-00327,VH-0080,C-005,R-067,D-MID,DR-0169,312,6.7,10.1,160.66,577.78,47,102,349.7
T-00328,VH-0026,C-002,R-014,D-WAL,DR-0166,362,8.6,10.3,142.65,1596.78,82,59,318.5
T-00329,VH-0141,C-006,R-050,D-NTH,DR-0201,41,1.0,2.1,16.87,169.24,97,8,22.9
T-00330,VH-0148,C-001,R-001,D-MID,DR-0074,261,5.1,5.7,120.29,1319.67,60,64,290.4
T-00331,VH-0145,C-004,R-032,D-SCO,DR-0130,90,2.1,4.0,31.1,262.05,65,8,71.3
T-00332,VH-0078,C-005,R-030,D-WAL,DR-0217,309,7.0,7.3,124.94,601.37,71,85,334.9
T-00333,VH-0095,C-004,R-065,D-MID,DR-0067,275,5.5,7.1,88.43,736.47,92,3,211.1
T-00334,VH-0076,C-002,R-062,D-MID,DR-0158,187,4.6,5.6,102.77,947.0,65,7,122.8
T-00335,VH-0145,C-002,R-053,D-LON,DR-0190,206,6.0,6.6,87.22,826.01,62,33,143.1
T-00336,VH-0001,C-004,R-022,D-SCO,DR-0192,268,6.6,8.5,120.26,710.87,65,52,199.9
T-00337,VH-0160,C-003,R-008,D-MID,DR-0194,199,4.9,8.3,103.82,706.25,54,20,210.8
T-00338,VH-0026,C-004,R-040,D-WAL,DR-0034,333,6.5,11.0,122.21,850.96,70,9,396.6
T-00339,VH-0133,C-002,R-014,D-SCO,DR-0125,362,8.6,10.3,202.18,1514.75,71,81,397.1
T-00340,VH-0033,C-005,R-025,D-STH,DR-0150,103,2.0,3.8,53.82,216.07,65,19,83.3
T-00341,VH-0050,C-003,R-023,D-MID,DR-0018,379,9.6,13.3,168.3,1249.24,60,82,297.5
T-00342,VH-0091,C-004,R-036,D-LON,DR-0004,158,3.5,4.0,74.08,468.85,56,29,159.7
T-00343,VH-0127,C-003,R-038,D-WAL,DR-0158,193,5.4,6.0,90.09,749.74,53,38,211.0
T-00344,VH-0081,C-006,R-060,D-SCO,DR-0190,302,6.2,7.5,170.73,1258.32,53,11,232.3
T-00345,VH-0039,C-002,R-050,D-SCO,DR-0122,41,1.0,2.1,22.98,210.99,52,9,47.6
T-00346,VH-0111,C-005,R-018,D-NTH,DR-0056,391,9.2,11.3,176.19,873.31,63,11,379.5
T-00347,VH-0144,C-001,R-009,D-MID,DR-0108,284,7.8,10.0,142.75,1100.19,98,26,246.8
T-00348,VH-0014,C-001,R-044,D-STH,DR-0038,48,1.1,2.1,25.13,243.92,86,2,50.9
T-00349,VH-0130,C-006,R-009,D-STH,DR-0149,284,7.8,10.0,162.21,1467.1,78,23,183.4
T-00350,VH-0076,C-003,R-036,D-STH,DR-0169,158,3.5,4.0,56.42,647.41,52,42,105.2
T-00351,VH-0103,C-006,R-003,D-SCO,DR-0039,124,2.5,4.8,71.89,534.29,50,14,90.5
T-00352,VH-0127,C-005,R-020,D-SCO,DR-0157,136,2.7,4.6,50.14,242.71,91,27,115.8
T-00353,VH-0139,C-003,R-030,D-SCO,DR-0165,309,7.0,7.3,125.17,1087.44,84,49,288.7
T-00354,VH-0169,C-004,R-020,D-MID,DR-0124,136,2.7,4.6,66.87,338.22,62,25,160.0
T-00355,VH-0062,C-002,R-029,D-STH,DR-0043,62,1.4,2.3,33.77,264.35,79,11,53.6
T-00356,VH-0007,C-006,R-040,D-STH,DR-0054,333,6.5,11.0,157.52,1914.41,67,98,357.2
T-00357,VH-0026,C-006,R-062,D-LON,DR-0086,187,4.6,5.6,85.95,930.93,77,21,150.2
T-00358,VH-0005,C-004,R-024,D-MID,DR-0096,216,4.9,5.5,96.42,659.25,77,57,193.9
T-00359,VH-0162,C-004,R-047,D-WAL,DR-0036,24,0.6,0.9,7.95,62.36,60,8,25.9
T-00360,VH-0007,C-004,R-004,D-LON,DR-0096,404,10.6,15.0,229.58,1171.58,85,1,354.5
T-00361,VH-0100,C-002,R-013,D-LON,DR-0142,76,1.8,3.5,28.96,376.31,98,10,63.0
T-00362,VH-0061,C-002,R-018,D-WAL,DR-0182,391,9.2,11.3,141.33,2044.45,88,86,335.4
T-00363,VH-0111,C-004,R-008,D-STH,DR-0186,199,4.9,8.3,103.99,460.92,50,63,209.5
T-00364,VH-0036,C-006,R-061,D-NTH,DR-0146,223,5.9,6.3,125.05,912.21,95,55,188.4
T-00365,VH-0002,C-002,R-017,D-STH,DR-0019,209,5.3,5.3,76.79,978.05,70,55,149.1
T-00366,VH-0069,C-006,R-033,D-WAL,DR-0199,267,6.5,6.3,140.75,1422.98,54,86,223.9
T-00367,VH-0107,C-003,R-042,D-WAL,DR-0220,348,8.0,7.5,123.38,1257.98,85,7,369.4
T-00368,VH-0008,C-001,R-039,D-WAL,DR-0199,213,5.3,7.3,116.49,783.29,89,8,191.2
T-00369,VH-0154,C-003,R-003,D-MID,DR-0086,124,2.5,4.8,56.46,402.22,81,1,141.7
T-00370,VH-0072,C-004,R-066,D-MID,DR-0118,289,5.9,7.0,124.04,681.09,72,37,275.9
T-00371,VH-0072,C-005,R-065,D-SCO,DR-0115,275,5.5,7.1,129.54,455.16,87,33,310.1
T-00372,VH-0140,C-001,R-062,D-LON,DR-0040,187,4.6,5.6,104.98,861.87,83,50,209.6
T-00373,VH-0026,C-001,R-054,D-MID,DR-0216,18,0.4,1.7,9.53,91.48,98,1,12.7
T-00374,VH-0068,C-006,R-005,D-SCO,DR-0122,33,0.9,2.1,15.49,168.6,60,0,29.1
T-00375,VH-0096,C-004,R-027,D-LON,DR-0141,34,0.8,1.5,13.95,94.99,89,4,40.6
T-00376,VH-0033,C-003,R-062,D-WAL,DR-0104,187,4.6,5.6,73.87,657.91,82,15,190.2
T-00377,VH-0007,C-005,R-029,D-WAL,DR-0043,62,1.4,2.3,23.25,126.02,91,11,45.2
T-00378,VH-0062,C-006,R-027,D-MID,DR-0017,34,0.8,1.5,13.11,161.08,65,4,25.3
T-00379,VH-0141,C-001,R-040,D-SCO,DR-0025,333,6.5,11.0,110.49,1434.85,84,51,301.9
T-00380,VH-0072,C-001,R-033,D-LON,DR-0009,267,6.5,6.3,154.25,1127.63,56,75,294.9
T-00381,VH-0014,C-002,R-028,D-STH,DR-0208,205,4.1,8.8,96.69,908.53,64,31,148.4
T-00382,VH-0105,C-003,R-021,D-MID,DR-0196,20,0.5,1.1,9.7,76.63,91,4,20.0
T-00383,VH-0132,C-002,R-038,D-STH,DR-0051,193,5.4,6.0,96.62,851.42,47,3,218.7
T-00384,VH-0021,C-002,R-025,D-STH,DR-0029,103,2.0,3.8,37.82,526.54,68,24,113.3
T-00385,VH-0065,C-002,R-036,D-WAL,DR-0024,158,3.5,4.0,54.82,615.82,42,18,94.5
T-00386,VH-0026,C-005,R-013,D-WAL,DR-0175,76,1.8,3.5,30.43,125.9,96,0,85.1
T-00387,VH-0020,C-001,R-064,D-STH,DR-0061,214,5.0,5.3,73.06,1088.3,63,27,239.7
T-00388,VH-0088,C-003,R-067,D-SCO,DR-0116,312,6.7,10.1,128.06,1226.12,84,51,313.7
T-00389,VH-0044,C-001,R-066,D-MID,DR-0129,289,5.9,7.0,146.59,1296.51,49,44,247.6
T-00390,VH-0154,C-003,R-025,D-SCO,DR-0135,103,2.0,3.8,39.39,416.71,50,34,122.3
T-00391,VH-0089,C-006,R-030,D-SCO,DR-0201,309,7.0,7.3,128.77,1385.86,78,39,234.9
T-00392,VH-0057,C-001,R-011,D-STH,DR-0006,188,4.7,5.3,85.19,935.67,54,30,120.5
T-00393,VH-0055,C-005,R-044,D-MID,DR-0169,48,1.1,2.1,17.16,104.7,92,10,28.3
T-00394,VH-0013,C-002,R-016,D-LON,DR-0148,349,9.8,12.5,133.4,1603.51,57,27,344.3
T-00395,VH-0031,C-002,R-030,D-WAL,DR-0076,309,7.0,7.3,174.8,1299.76,64,25,327.1
T-00396,VH-0039,C-002,R-017,D-MID,DR-0176,209,5.3,5.3,93.31,991.31,76,45,148.4
T-00397,VH-0052,C-002,R-019,D-STH,DR-0128,52,1.4,2.4,22.22,245.54,78,2,50.9
T-00398,VH-0002,C-004,R-066,D-SCO,DR-0149,289,5.9,7.0,102.22,853.1,78,53,184.9
T-00399,VH-0114,C-004,R-018,D-STH,DR-0188,391,9.2,11.3,214.67,943.77,86,14,276.8
T-00400,VH-0003,C-005,R-027,D-NTH,DR-0164,34,0.8,1.5,16.87,63.74,80,4,23.3
T-00401,VH-0080,C-003,R-008,D-SCO,DR-0082,199,4.9,8.3,81.91,830.77,45,25,137.6
T-00402,VH-0122,C-004,R-067,D-LON,DR-0185,312,6.7,10.1,125.87,924.58,43,42,255.5
T-00403,VH-0119,C-001,R-009,D-MID,DR-0123,284,7.8,10.0,146.55,1388.97,69,75,185.3
T-00404,VH-0013,C-001,R-065,D-MID,DR-0184,275,5.5,7.1,149.31,1255.57,51,24,177.4
T-00405,VH-0006,C-003,R-018,D-NTH,DR-0178,391,9.2,11.3,154.04,1335.19,84,62,218.4
T-00406,VH-0130,C-006,R-027,D-SCO,DR-0163,34,0.8,1.5,14.3,144.24,60,10,40.1
T-00407,VH-0153,C-006,R-008,D-WAL,DR-0061,199,4.9,8.3,67.09,936.74,70,66,116.2
T-00408,VH-0111,C-003,R-059,D-SCO,DR-0052,185,3.8,6.6,88.28,849.26,81,32,205.4
T-00409,VH-0155,C-002,R-055,D-STH,DR-0183,161,4.5,5.8,74.03,718.43,80,0,184.5
T-00410,VH-0079,C-004,R-025,D-WAL,DR-0110,103,2.0,3.8,34.01,309.1,97,23,64.3
T-00411,VH-0004,C-002,R-003,D-SCO,DR-0164,124,2.5,4.8,45.99,545.62,50,16,139.6
T-00412,VH-0133,C-005,R-026,D-NTH,DR-0062,305,8.2,9.0,109.83,628.31,97,84,332.3
T-00413,VH-0081,C-004,R-022,D-NTH,DR-0163,268,6.6,8.5,140.7,777.37,64,85,316.7
T-00414,VH-0043,C-006,R-030,D-SCO,DR-0092,309,7.0,7.3,113.71,1295.6,71,33,225.1
T-00415,VH-0036,C-003,R-041,D-LON,DR-0171,159,3.7,5.6,64.0,632.86,72,23,127.3
T-00416,VH-0038,C-004,R-030,D-NTH,DR-0156,309,7.0,7.3,164.43,916.03,67,38,200.5
T-00417,VH-0150,C-002,R-056,D-LON,DR-0173,321,6.9,8.8,180.85,1541.94,80,16,207.2
T-00418,VH-0080,C-003,R-007,D-STH,DR-0089,245,5.6,7.8,134.49,1041.2,52,76,253.4
T-00419,VH-0138,C-006,R-022,D-WAL,DR-0174,268,6.6,8.5,132.28,1489.28,47,83,149.0
T-00420,VH-0165,C-001,R-069,D-NTH,DR-0093,187,5.1,5.7,72.46,672.42,65,26,135.0
T-00421,VH-0176,C-002,R-037,D-NTH,DR-0045,353,8.1,10.1,170.43,1562.25,48,47,372.9
T-00422,VH-0116,C-006,R-022,D-MID,DR-0033,268,6.6,8.5,121.55,1215.45,59,61,161.7
T-00423,VH-0094,C-005,R-014,D-NTH,DR-0115,362,8.6,10.3,192.83,684.85,89,110,307.6
T-00424,VH-0032,C-004,R-021,D-MID,DR-0124,20,0.5,1.1,10.82,58.34,88,1,18.1
T-00425,VH-0012,C-003,R-013,D-STH,DR-0151,76,1.8,3.5,32.79,308.62,84,9,89.1
T-00426,VH-0059,C-006,R-029,D-LON,DR-0106,62,1.4,2.3,30.7,265.64,57,5,69.5
T-00427,VH-0024,C-001,R-037,D-STH,DR-0163,353,8.1,10.1,170.19,1741.41,74,116,268.7
T-00428,VH-0027,C-004,R-055,D-STH,DR-0135,161,4.5,5.8,67.48,382.84,81,16,138.0
T-00429,VH-0073,C-001,R-034,D-STH,DR-0187,155,3.1,4.3,74.2,741.58,67,42,179.4
T-00430,VH-0126,C-004,R-062,D-STH,DR-0075,187,4.6,5.6,72.52,524.17,98,46,114.5
T-00431,VH-0144,C-006,R-063,D-LON,DR-0172,113,2.3,3.7,47.48,579.5,62,32,117.1
T-00432,VH-0013,C-005,R-049,D-SCO,DR-0057,273,5.8,11.6,146.86,477.63,98,57,299.6
T-00433,VH-0054,C-003,R-004,D-STH,DR-0199,404,10.6,15.0,151.12,1478.8,81,14,420.3
T-00434,VH-0129,C-005,R-047,D-MID,DR-0192,24,0.6,0.9,13.68,46.96,92,4,27.0
T-00435,VH-0079,C-003,R-003,D-SCO,DR-0079,124,2.5,4.8,54.22,413.32,57,13,98.5
T-00436,VH-0051,C-004,R-040,D-NTH,DR-0108,333,6.5,11.0,173.44,1030.63,76,104,294.4
T-00437,VH-0062,C-001,R-006,D-LON,DR-0216,334,8.4,12.4,157.91,1327.71,48,22,284.3
T-00438,VH-0079,C-006,R-013,D-NTH,DR-0078,76,1.8,3.5,26.68,387.78,77,23,78.8
T-00439,VH-0034,C-002,R-004,D-WAL,DR-0161,404,10.6,15.0,177.16,1992.29,87,51,256.2
T-00440,VH-0156,C-001,R-049,D-NTH,DR-0011,273,5.8,11.6,138.32,1086.47,43,32,221.0
T-00441,VH-0066,C-001,R-036,D-WAL,DR-0151,158,3.5,4.0,83.33,712.59,90,20,160.9
T-00442,VH-0063,C-003,R-049,D-NTH,DR-0054,273,5.8,11.6,90.32,1130.98,74,65,188.9
T-00443,VH-0157,C-003,R-068,D-SCO,DR-0092,114,2.5,5.3,59.81,499.43,46,22,79.3
T-00444,VH-0086,C-005,R-067,D-MID,DR-0113,312,6.7,10.1,160.5,709.44,65,101,186.2
T-00445,VH-0141,C-002,R-065,D-MID,DR-0023,275,5.5,7.1,153.36,1346.15,66,23,307.6
T-00446,VH-0111,C-004,R-056,D-WAL,DR-0121,321,6.9,8.8,157.57,849.13,48,43,381.9
T-00447,VH-0094,C-001,R-029,D-NTH,DR-0090,62,1.4,2.3,28.75,272.04,95,18,39.9
T-00448,VH-0056,C-003,R-064,D-SCO,DR-0073,214,5.0,5.3,89.23,976.78,91,51,189.8
T-00449,VH-0002,C-003,R-046,D-LON,DR-0070,375,8.3,12.3,138.48,1489.81,80,59,253.5
T-00450,VH-0051,C-002,R-054,D-MID,DR-0020,18,0.4,1.7,6.99,71.65,84,1,11.4
T-00451,VH-0025,C-001,R-069,D-LON,DR-0048,187,5.1,5.7,81.37,936.22,76,13,221.3
T-00452,VH-0151,C-005,R-050,D-WAL,DR-0022,41,1.0,2.1,17.4,77.03,62,11,30.5
T-00453,VH-0164,C-004,R-004,D-LON,DR-0002,404,10.6,15.0,172.16,975.79,70,61,442.6
T-00454,VH-0085,C-004,R-011,D-LON,DR-0101,188,4.7,5.3,72.54,500.59,93,14,150.1
T-00455,VH-0024,C-006,R-058,D-NTH,DR-0100,201,5.1,5.3,65.34,919.11,63,37,125.8
T-00456,VH-0105,C-005,R-065,D-WAL,DR-0122,275,5.5,7.1,90.41,582.65,91,56,244.1
T-00457,VH-0103,C-005,R-022,D-STH,DR-0008,268,6.6,8.5,143.91,576.19,66,72,151.3
T-00458,VH-0002,C-003,R-037,D-NTH,DR-0064,353,8.1,10.1,202.39,1195.58,68,97,315.6
T-00459,VH-0030,C-002,R-067,D-SCO,DR-0003,312,6.7,10.1,118.86,1451.05,90,23,234.4
T-00460,VH-0049,C-006,R-058,D-MID,DR-0004,201,5.1,5.3,94.26,1112.26,65,64,181.5
T-00461,VH-0123,C-005,R-017,D-WAL,DR-0088,209,5.3,5.3,94.35,371.62,79,13,230.6
T-00462,VH-0087,C-006,R-040,D-SCO,DR-0193,333,6.5,11.0,168.12,1704.02,61,28,286.3
T-00463,VH-0085,C-001,R-035,D-SCO,DR-0147,338,6.5,8.3,193.37,1691.24,42,112,242.7
T-00464,VH-0084,C-001,R-008,D-NTH,DR-0067,199,4.9,8.3,97.76,971.96,45,36,218.4
T-00465,VH-0059,C-002,R-007,D-NTH,DR-0012,245,5.6,7.8,99.05,1280.52,46,51,143.5
T-00466,VH-0158,C-005,R-010,D-STH,DR-0121,171,4.0,6.9,59.61,381.03,86,31,202.3
T-00467,VH-0130,C-003,R-020,D-LON,DR-0191,136,2.7,4.6,70.59,550.88,44,6,155.5
T-00468,VH-0050,C-004,R-062,D-SCO,DR-0054,187,4.6,5.6,76.94,534.84,60,1,121.6
T-00469,VH-0054,C-004,R-013,D-WAL,DR-0038,76,1.8,3.5,24.64,224.83,44,4,74.2
T-00470,VH-0080,C-006,R-005,D-SCO,DR-0025,33,0.9,2.1,13.92,165.81,42,3,28.4
T-00471,VH-0043,C-001,R-017,D-WAL,DR-0004,209,5.3,5.3,85.18,807.39,68,51,230.5
T-00472,VH-0019,C-003,R-020,D-LON,DR-0137,136,2.7,4.6,44.64,574.61,51,24,78.5
T-00473,VH-0170,C-006,R-030,D-WAL,DR-0118,309,7.0,7.3,141.18,1490.8,46,2,190.1
T-00474,VH-0116,C-001,R-030,D-NTH,DR-0060,309,7.0,7.3,174.42,1555.06,86,82,322.4
T-00475,VH-0029,C-001,R-004,D-LON,DR-0114,404,10.6,15.0,140.48,1845.37,87,108,360.8
T-00476,VH-0029,C-001,R-028,D-STH,DR-0158,205,4.1,8.8,91.06,830.92,95,58,164.2
T-00477,VH-0054,C-004,R-030,D-WAL,DR-0137,309,7.0,7.3,154.63,776.83,70,1,230.7
T-00478,VH-0050,C-001,R-059,D-WAL,DR-0219,185,3.8,6.6,73.77,686.19,66,53,180.5
T-00479,VH-0171,C-003,R-015,D-LON,DR-0183,277,5.8,7.7,129.8,922.95,56,84,293.1
T-00480,VH-0178,C-002,R-029,D-LON,DR-0198,62,1.4,2.3,30.16,235.4,66,5,61.3
T-00481,VH-0066,C-005,R-063,D-STH,DR-0116,113,2.3,3.7,44.08,246.22,47,4,122.1
T-00482,VH-0113,C-005,R-018,D-MID,DR-0184,391,9.2,11.3,168.5,843.71,64,74,258.7
T-00483,VH-0136,C-005,R-033,D-MID,DR-0001,267,6.5,6.3,134.41,507.28,54,85,276.3
T-00484,VH-0168,C-001,R-050,D-LON,DR-0126,41,1.0,2.1,17.46,147.3,51,9,31.3
T-00485,VH-0174,C-001,R-042,D-MID,DR-0153,348,8.0,7.5,144.31,1430.76,91,13,403.7
T-00486,VH-0023,C-006,R-038,D-LON,DR-0175,193,5.4,6.0,71.21,1024.94,70,28,181.4
T-00487,VH-0064,C-001,R-001,D-STH,DR-0215,261,5.1,5.7,122.35,1185.04,90,81,269.2
T-00488,VH-0091,C-003,R-015,D-WAL,DR-0028,277,5.8,7.7,138.29,1177.72,43,33,290.7
